,date,state,region,retail_recreation,grocery_pharmacy,parks,transit_stations,workplaces,residential
0,2020-03-29,Alabama,Total,-41.0,-13.0,19.0,-30.0,-32.0,9.0
2,2020-03-29,Alabama,Baldwin County,-47.0,-19.0,-27.0,-24.0,-32.0,9.0
17,2020-03-29,Alabama,Colbert County,-30.0,-6.0,-14.0,-20.0,-22.0,12.0
22,2020-03-29,Alabama,Cullman County,-33.0,-2.0,86.0,-33.0,-29.0,8.0
25,2020-03-29,Alabama,DeKalb County,-38.0,-7.0,9.0,-33.0,-23.0,11.0
28,2020-03-29,Alabama,Etowah County,-47.0,-13.0,19.0,-27.0,-33.0,9.0
35,2020-03-29,Alabama,Houston County,-46.0,-18.0,23.0,-27.0,-30.0,9.0
37,2020-03-29,Alabama,Jefferson County,-48.0,-16.0,7.0,-43.0,-36.0,11.0
45,2020-03-29,Alabama,Madison County,-46.0,-17.0,35.0,-39.0,-38.0,10.0
49,2020-03-29,Alabama,Mobile County,-39.0,-11.0,-21.0,-30.0,-29.0,9.0
51,2020-03-29,Alabama,Montgomery County,-44.0,-14.0,-9.0,-14.0,-34.0,11.0
52,2020-03-29,Alabama,Morgan County,-37.0,-4.0,18.0,-27.0,-27.0,8.0
61,2020-03-29,Alabama,Talladega County,-31.0,-10.0,17.0,-12.0,-33.0,7.0
63,2020-03-29,Alabama,Tuscaloosa County,-46.0,-14.0,-1.0,-29.0,-40.0,12.0
68,2020-03-29,Alaska,Total,-48.0,-27.0,18.0,-55.0,-33.0,10.0
69,2020-03-29,Alaska,Anchorage,-49.0,-25.0,51.0,-53.0,-39.0,11.0
72,2020-03-29,Alaska,Juneau,-61.0,-34.0,-34.0,-66.0,-31.0,-1.0
81,2020-03-29,Arizona,Total,-40.0,-17.0,-7.0,-41.0,-33.0,10.0
82,2020-03-29,Arizona,Apache County,-38.0,-13.0,-35.0,-8.0,-27.0,20.0
83,2020-03-29,Arizona,Cochise County,-37.0,-21.0,-14.0,-23.0,-29.0,8.0
84,2020-03-29,Arizona,Coconino County,-55.0,-24.0,-25.0,-34.0,-38.0,12.0
89,2020-03-29,Arizona,Maricopa County,-40.0,-18.0,-6.0,-44.0,-33.0,10.0
90,2020-03-29,Arizona,Mohave County,-36.0,-13.0,-13.0,-23.0,-37.0,9.0
91,2020-03-29,Arizona,Navajo County,-29.0,-9.0,11.0,-12.0,-28.0,10.0
92,2020-03-29,Arizona,Pima County,-43.0,-16.0,-16.0,-43.0,-36.0,10.0
93,2020-03-29,Arizona,Pinal County,-27.0,-23.0,1.0,-28.0,-31.0,8.0
94,2020-03-29,Arizona,Santa Cruz County,-56.0,-47.0,-29.0,-25.0,-33.0,18.0
95,2020-03-29,Arizona,Yavapai County,-40.0,-15.0,6.0,-27.0,-38.0,9.0
96,2020-03-29,Arizona,Yuma County,-45.0,-21.0,-17.0,-53.0,-27.0,10.0
97,2020-03-29,Arkansas,Total,-29.0,-7.0,81.0,-22.0,-27.0,7.0
101,2020-03-29,Arkansas,Benton County,-36.0,-16.0,56.0,-65.0,-34.0,9.0
112,2020-03-29,Arkansas,Craighead County,-32.0,-3.0,-59.0,-5.0,-24.0,4.0
140,2020-03-29,Arkansas,Miller County,-33.0,-10.0,-35.0,-24.0,-32.0,12.0
154,2020-03-29,Arkansas,Pulaski County,-35.0,-9.0,73.0,-38.0,-30.0,9.0
156,2020-03-29,Arkansas,Saline County,-26.0,-13.0,-52.0,-10.0,-33.0,7.0
159,2020-03-29,Arkansas,Sebastian County,-36.0,-11.0,45.0,-41.0,-27.0,7.0
166,2020-03-29,Arkansas,Washington County,-37.0,-16.0,37.0,-10.0,-34.0,8.0
167,2020-03-29,Arkansas,White County,-27.0,-12.0,-19.0,4.0,-21.0,9.0
169,2020-03-29,California,Total,-50.0,-24.0,-38.0,-54.0,-39.0,15.0
170,2020-03-29,California,Alameda County,-58.0,-27.0,-14.0,-64.0,-44.0,17.0
172,2020-03-29,California,Butte County,-45.0,-16.0,-23.0,-45.0,-34.0,11.0
175,2020-03-29,California,Contra Costa County,-48.0,-21.0,-15.0,-49.0,-41.0,15.0
177,2020-03-29,California,El Dorado County,-58.0,-37.0,-35.0,-50.0,-48.0,13.0
178,2020-03-29,California,Fresno County,-40.0,-14.0,-27.0,-43.0,-31.0,11.0
179,2020-03-29,California,Glenn County,-23.0,-14.0,-11.0,-20.0,-36.0,2.0
180,2020-03-29,California,Humboldt County,-48.0,-23.0,-10.0,-48.0,-35.0,11.0
181,2020-03-29,California,Imperial County,-53.0,-31.0,-65.0,-62.0,-32.0,16.0
183,2020-03-29,California,Kern County,-43.0,-17.0,-16.0,-37.0,-30.0,11.0
184,2020-03-29,California,Kings County,-34.0,-14.0,-12.0,-43.0,-27.0,10.0
185,2020-03-29,California,Lake County,-38.0,-13.0,-42.0,-42.0,-33.0,16.0
187,2020-03-29,California,Los Angeles County,-51.0,-27.0,-48.0,-54.0,-41.0,17.0
188,2020-03-29,California,Madera County,-39.0,-25.0,-20.0,-30.0,-30.0,11.0
189,2020-03-29,California,Marin County,-61.0,-30.0,-59.0,-61.0,-42.0,17.0
191,2020-03-29,California,Mendocino County,-47.0,-29.0,-39.0,-44.0,-32.0,17.0
192,2020-03-29,California,Merced County,-34.0,-18.0,-1.0,-37.0,-26.0,11.0
195,2020-03-29,California,Monterey County,-46.0,-19.0,-48.0,-45.0,-43.0,14.0
196,2020-03-29,California,Napa County,-53.0,-34.0,-24.0,-45.0,-51.0,18.0
197,2020-03-29,California,Nevada County,-56.0,-26.0,-48.0,-73.0,-41.0,15.0
198,2020-03-29,California,Orange County,-52.0,-24.0,-31.0,-55.0,-44.0,17.0
199,2020-03-29,California,Placer County,-52.0,-27.0,-2.0,-55.0,-44.0,13.0
201,2020-03-29,California,Riverside County,-43.0,-20.0,-44.0,-41.0,-39.0,14.0
202,2020-03-29,California,Sacramento County,-45.0,-21.0,-1.0,-57.0,-37.0,13.0
204,2020-03-29,California,San Bernardino County,-45.0,-23.0,-36.0,-42.0,-34.0,14.0
205,2020-03-29,California,San Diego County,-50.0,-26.0,-51.0,-64.0,-41.0,15.0
206,2020-03-29,California,San Francisco County,-75.0,-37.0,-55.0,-66.0,-53.0,21.0
207,2020-03-29,California,San Joaquin County,-41.0,-16.0,-16.0,-31.0,-30.0,12.0
208,2020-03-29,California,San Luis Obispo County,-56.0,-29.0,-27.0,-58.0,-45.0,13.0
209,2020-03-29,California,San Mateo County,-60.0,-26.0,-35.0,-83.0,-46.0,19.0
210,2020-03-29,California,Santa Barbara County,-47.0,-17.0,-30.0,-51.0,-40.0,13.0
211,2020-03-29,California,Santa Clara County,-62.0,-33.0,-22.0,-71.0,-48.0,17.0
212,2020-03-29,California,Santa Cruz County,-55.0,-27.0,-40.0,-57.0,-41.0,15.0
213,2020-03-29,California,Shasta County,-39.0,-15.0,-21.0,-22.0,-31.0,9.0
214,2020-03-29,California,Siskiyou County,-35.0,-20.0,-6.0,9.0,-25.0,13.0
215,2020-03-29,California,Solano County,-45.0,-21.0,-18.0,-37.0,-34.0,13.0
216,2020-03-29,California,Sonoma County,-53.0,-22.0,-58.0,-54.0,-41.0,15.0
217,2020-03-29,California,Stanislaus County,-44.0,-19.0,-12.0,-28.0,-29.0,11.0
218,2020-03-29,California,Sutter County,-41.0,-18.0,-28.0,-43.0,-34.0,13.0
219,2020-03-29,California,Tehama County,-34.0,-9.0,-9.0,-22.0,-27.0,15.0
221,2020-03-29,California,Tulare County,-39.0,-13.0,-27.0,-28.0,-25.0,11.0
223,2020-03-29,California,Ventura County,-46.0,-24.0,-24.0,-40.0,-39.0,14.0
224,2020-03-29,California,Yolo County,-43.0,-23.0,2.0,-34.0,-37.0,13.0
225,2020-03-29,California,Yuba County,-34.0,-12.0,24.0,-34.0,-38.0,13.0
226,2020-03-29,Colorado,Total,-51.0,-27.0,-12.0,-60.0,-40.0,13.0
227,2020-03-29,Colorado,Adams County,-49.0,-25.0,-12.0,-30.0,-36.0,13.0
229,2020-03-29,Colorado,Arapahoe County,-52.0,-30.0,14.0,-36.0,-40.0,14.0
231,2020-03-29,Colorado,Boulder County,-59.0,-32.0,-7.0,-44.0,-47.0,15.0
232,2020-03-29,Colorado,Broomfield County,-57.0,-30.0,9.0,-46.0,-41.0,30.0
237,2020-03-29,Colorado,Denver County,-63.0,-25.0,-17.0,-75.0,-43.0,16.0
238,2020-03-29,Colorado,Douglas County,-56.0,-36.0,10.0,-50.0,-43.0,14.0
239,2020-03-29,Colorado,Eagle County,-75.0,-47.0,-46.0,-67.0,-74.0,26.0
240,2020-03-29,Colorado,El Paso County,-45.0,-22.0,-1.0,-55.0,-40.0,12.0
243,2020-03-29,Colorado,Garfield County,-51.0,-35.0,4.0,-34.0,-45.0,22.0
248,2020-03-29,Colorado,Jefferson County,-53.0,-41.0,-3.0,-39.0,-43.0,14.0
250,2020-03-29,Colorado,La Plata County,-58.0,-28.0,4.0,-68.0,-43.0,25.0
252,2020-03-29,Colorado,Larimer County,-53.0,-27.0,1.0,-38.0,-38.0,13.0
256,2020-03-29,Colorado,Mesa County,-40.0,-21.0,11.0,-35.0,-35.0,9.0
260,2020-03-29,Colorado,Morgan County,-40.0,-33.0,0.0,-23.0,-18.0,14.0
266,2020-03-29,Colorado,Pueblo County,-42.0,-21.0,-45.0,-32.0,-29.0,9.0
269,2020-03-29,Colorado,Routt County,-82.0,-49.0,-48.0,-65.0,-62.0,-2.0
272,2020-03-29,Colorado,Summit County,-86.0,-73.0,-74.0,-67.0,-71.0,5.0
274,2020-03-29,Colorado,Weld County,-42.0,-26.0,-4.0,-32.0,-33.0,12.0
276,2020-03-29,Connecticut,Total,-56.0,-32.0,-52.0,-64.0,-38.0,15.0
277,2020-03-29,Connecticut,Fairfield County,-61.0,-35.0,-60.0,-72.0,-44.0,17.0
278,2020-03-29,Connecticut,Hartford County,-56.0,-31.0,-48.0,-61.0,-35.0,13.0
280,2020-03-29,Connecticut,Middlesex County,-58.0,-28.0,-49.0,-60.0,-38.0,15.0
281,2020-03-29,Connecticut,New Haven County,-56.0,-31.0,-52.0,-62.0,-36.0,14.0
282,2020-03-29,Connecticut,New London County,-56.0,-28.0,-45.0,-67.0,-41.0,15.0
283,2020-03-29,Connecticut,Tolland County,-59.0,-33.0,-38.0,-38.0,-37.0,14.0
284,2020-03-29,Connecticut,Windham County,-42.0,-27.0,-58.0,-69.0,-32.0,12.0
285,2020-03-29,Delaware,Total,-47.0,-28.0,-6.0,-57.0,-37.0,12.0
286,2020-03-29,Delaware,Kent County,-45.0,-32.0,2.0,-50.0,-35.0,11.0
287,2020-03-29,Delaware,New Castle County,-48.0,-31.0,5.0,-60.0,-37.0,13.0
288,2020-03-29,Delaware,Sussex County,-46.0,-23.0,-5.0,-40.0,-36.0,11.0
289,2020-03-29,District of Columbia,Total,-64.0,-30.0,-41.0,-68.0,-47.0,14.0
290,2020-03-29,Florida,Total,-50.0,-26.0,-48.0,-63.0,-41.0,13.0
291,2020-03-29,Florida,Alachua County,-54.0,-26.0,-32.0,-48.0,-37.0,12.0
293,2020-03-29,Florida,Bay County,-38.0,-16.0,-2.0,-50.0,-27.0,8.0
295,2020-03-29,Florida,Brevard County,-44.0,-22.0,-26.0,-37.0,-38.0,11.0
296,2020-03-29,Florida,Broward County,-52.0,-28.0,-62.0,-72.0,-42.0,16.0
298,2020-03-29,Florida,Charlotte County,-49.0,-25.0,-35.0,-33.0,-40.0,10.0
301,2020-03-29,Florida,Collier County,-56.0,-29.0,-62.0,-56.0,-44.0,14.0
302,2020-03-29,Florida,Columbia County,-36.0,-8.0,-41.0,-25.0,-25.0,8.0
305,2020-03-29,Florida,Duval County,-36.0,-13.0,-26.0,-40.0,-33.0,10.0
306,2020-03-29,Florida,Escambia County,-38.0,-10.0,-11.0,-47.0,-32.0,9.0
316,2020-03-29,Florida,Hernando County,-36.0,-16.0,-10.0,-37.0,-36.0,10.0
318,2020-03-29,Florida,Hillsborough County,-52.0,-30.0,-53.0,-67.0,-42.0,14.0
320,2020-03-29,Florida,Indian River County,-46.0,-29.0,-30.0,-47.0,-38.0,11.0
324,2020-03-29,Florida,Lake County,-42.0,-24.0,-24.0,-57.0,-41.0,12.0
325,2020-03-29,Florida,Lee County,-55.0,-28.0,-60.0,-69.0,-41.0,12.0
326,2020-03-29,Florida,Leon County,-45.0,-22.0,0.0,-50.0,-36.0,11.0
330,2020-03-29,Florida,Manatee County,-48.0,-22.0,-28.0,-63.0,-36.0,11.0
331,2020-03-29,Florida,Marion County,-41.0,-21.0,-40.0,-31.0,-34.0,9.0
332,2020-03-29,Florida,Martin County,-50.0,-28.0,-28.0,-59.0,-37.0,12.0
333,2020-03-29,Florida,Miami-Dade County,-57.0,-35.0,-77.0,-71.0,-46.0,18.0
334,2020-03-29,Florida,Monroe County,-74.0,-47.0,-76.0,-76.0,-55.0,15.0
335,2020-03-29,Florida,Nassau County,-40.0,-18.0,-24.0,-68.0,-34.0,10.0
336,2020-03-29,Florida,Okaloosa County,-39.0,-14.0,-7.0,-62.0,-32.0,9.0
337,2020-03-29,Florida,Okeechobee County,-37.0,-10.0,-23.0,-84.0,-33.0,11.0
338,2020-03-29,Florida,Orange County,-70.0,-42.0,-59.0,-80.0,-53.0,17.0
339,2020-03-29,Florida,Osceola County,-64.0,-40.0,-49.0,-65.0,-54.0,18.0
340,2020-03-29,Florida,Palm Beach County,-49.0,-23.0,-65.0,-61.0,-40.0,15.0
341,2020-03-29,Florida,Pasco County,-40.0,-24.0,-10.0,-25.0,-35.0,11.0
342,2020-03-29,Florida,Pinellas County,-51.0,-25.0,-16.0,-44.0,-39.0,12.0
343,2020-03-29,Florida,Polk County,-40.0,-22.0,-28.0,-29.0,-38.0,11.0
346,2020-03-29,Florida,Sarasota County,-52.0,-28.0,-59.0,-28.0,-41.0,11.0
347,2020-03-29,Florida,Seminole County,-48.0,-21.0,-19.0,-74.0,-42.0,13.0
348,2020-03-29,Florida,St. Johns County,-48.0,-13.0,-53.0,-34.0,-41.0,11.0
349,2020-03-29,Florida,St. Lucie County,-40.0,-14.0,-22.0,-52.0,-34.0,11.0
350,2020-03-29,Florida,Sumter County,-50.0,-21.0,-31.0,-36.0,-45.0,10.0
351,2020-03-29,Florida,Suwannee County,-28.0,-14.0,0.0,-42.0,-27.0,11.0
354,2020-03-29,Florida,Volusia County,-42.0,-19.0,-10.0,-39.0,-38.0,10.0
356,2020-03-29,Florida,Walton County,-46.0,-23.0,-29.0,-21.0,-31.0,9.0
358,2020-03-29,Georgia,Total,-42.0,-17.0,-2.0,-52.0,-37.0,11.0
365,2020-03-29,Georgia,Bartow County,-42.0,-5.0,40.0,-25.0,-33.0,9.0
368,2020-03-29,Georgia,Bibb County,-43.0,-16.0,36.0,-27.0,-32.0,10.0
372,2020-03-29,Georgia,Bryan County,-45.0,-19.0,-9.0,-29.0,-36.0,18.0
376,2020-03-29,Georgia,Camden County,-35.0,3.0,7.0,-29.0,-30.0,16.0
378,2020-03-29,Georgia,Carroll County,-38.0,-18.0,12.0,-25.0,-36.0,10.0
381,2020-03-29,Georgia,Chatham County,-50.0,-24.0,-32.0,-48.0,-41.0,11.0
385,2020-03-29,Georgia,Clarke County,-51.0,-24.0,-21.0,-30.0,-41.0,12.0
386,2020-03-29,Georgia,Clayton County,-30.0,-18.0,15.0,-80.0,-33.0,11.0
388,2020-03-29,Georgia,Cobb County,-49.0,-22.0,-47.0,-38.0,-41.0,13.0
391,2020-03-29,Georgia,Columbia County,-35.0,-7.0,-20.0,-44.0,-37.0,11.0
393,2020-03-29,Georgia,Coweta County,-46.0,-16.0,-56.0,-15.0,-35.0,11.0
398,2020-03-29,Georgia,DeKalb County,-47.0,-26.0,-15.0,-27.0,-42.0,13.0
402,2020-03-29,Georgia,Dougherty County,-51.0,-24.0,-37.0,-30.0,-34.0,11.0
403,2020-03-29,Georgia,Douglas County,-40.0,-26.0,-2.0,-28.0,-37.0,11.0
414,2020-03-29,Georgia,Fulton County,-54.0,-26.0,-44.0,-47.0,-43.0,13.0
416,2020-03-29,Georgia,Glynn County,-45.0,-22.0,-32.0,-39.0,-40.0,10.0
420,2020-03-29,Georgia,Gwinnett County,-50.0,-24.0,-9.0,-42.0,-46.0,15.0
422,2020-03-29,Georgia,Hall County,-39.0,-19.0,51.0,-20.0,-34.0,10.0
424,2020-03-29,Georgia,Haralson County,-27.0,-6.0,-29.0,-22.0,-33.0,8.0
442,2020-03-29,Georgia,Liberty County,-32.0,-17.0,-17.0,-22.0,-27.0,10.0
445,2020-03-29,Georgia,Lowndes County,-45.0,-17.0,-13.0,-21.0,-29.0,8.0
455,2020-03-29,Georgia,Monroe County,-39.0,3.0,11.0,-35.0,-32.0,-2.0
459,2020-03-29,Georgia,Muscogee County,-44.0,-8.0,19.0,-56.0,-29.0,9.0
473,2020-03-29,Georgia,Richmond County,-40.0,-5.0,26.0,-51.0,-31.0,8.0
503,2020-03-29,Georgia,Whitfield County,-34.0,-7.0,-45.0,-23.0,-25.0,9.0
508,2020-03-29,Hawaii,Total,-56.0,-36.0,-65.0,-72.0,-45.0,16.0
509,2020-03-29,Hawaii,Hawaii County,-61.0,-47.0,-77.0,-84.0,-41.0,15.0
510,2020-03-29,Hawaii,Honolulu County,-53.0,-32.0,-58.0,-69.0,-44.0,16.0
511,2020-03-29,Hawaii,Kauai County,-69.0,-53.0,-74.0,-83.0,-48.0,26.0
512,2020-03-29,Hawaii,Maui County,-64.0,-40.0,-73.0,-85.0,-54.0,17.0
513,2020-03-29,Idaho,Total,-42.0,-18.0,25.0,-34.0,-38.0,10.0
514,2020-03-29,Idaho,Ada County,-49.0,-23.0,33.0,-54.0,-43.0,11.0
515,2020-03-29,Idaho,Bannock County,-39.0,-24.0,-6.0,-28.0,-37.0,9.0
522,2020-03-29,Idaho,Bonneville County,-38.0,-11.0,59.0,-21.0,-34.0,9.0
524,2020-03-29,Idaho,Canyon County,-41.0,-15.0,35.0,-15.0,-37.0,9.0
536,2020-03-29,Idaho,Kootenai County,-42.0,-20.0,26.0,-18.0,-40.0,10.0
542,2020-03-29,Idaho,Nez Perce County,-46.0,-14.0,-24.0,-55.0,-31.0,18.0
552,2020-03-29,Illinois,Total,-53.0,-24.0,-29.0,-55.0,-39.0,13.0
560,2020-03-29,Illinois,Champaign County,-54.0,-29.0,44.0,-48.0,-40.0,13.0
566,2020-03-29,Illinois,Cook County,-58.0,-26.0,-45.0,-63.0,-45.0,15.0
572,2020-03-29,Illinois,DuPage County,-60.0,-29.0,-42.0,-51.0,-45.0,15.0
593,2020-03-29,Illinois,Kane County,-57.0,-27.0,-20.0,-46.0,-39.0,14.0
597,2020-03-29,Illinois,LaSalle County,-53.0,0.0,-62.0,-18.0,-32.0,11.0
598,2020-03-29,Illinois,Lake County,-57.0,-25.0,-36.0,-58.0,-41.0,14.0
605,2020-03-29,Illinois,Madison County,-39.0,-17.0,58.0,-24.0,-34.0,10.0
611,2020-03-29,Illinois,McHenry County,-54.0,-23.0,-26.0,-61.0,-38.0,13.0
612,2020-03-29,Illinois,McLean County,-53.0,-28.0,1.0,-37.0,-41.0,12.0
620,2020-03-29,Illinois,Peoria County,-50.0,-19.0,-16.0,-45.0,-35.0,11.0
628,2020-03-29,Illinois,Rock Island County,-50.0,0.0,-55.0,-57.0,-36.0,10.0
630,2020-03-29,Illinois,Sangamon County,-47.0,-18.0,31.0,-38.0,-36.0,10.0
633,2020-03-29,Illinois,St. Clair County,-45.0,-13.0,52.0,-26.0,-34.0,10.0
645,2020-03-29,Illinois,Will County,-54.0,-27.0,-36.0,-28.0,-36.0,14.0
646,2020-03-29,Illinois,Williamson County,-33.0,-15.0,-45.0,-16.0,-32.0,17.0
647,2020-03-29,Illinois,Winnebago County,-47.0,-30.0,-40.0,-40.0,-36.0,11.0
649,2020-03-29,Indiana,Total,-48.0,-25.0,24.0,-34.0,-36.0,11.0
651,2020-03-29,Indiana,Allen County,-54.0,-36.0,13.0,-44.0,-39.0,12.0
652,2020-03-29,Indiana,Bartholomew County,-49.0,-30.0,10.0,-28.0,-45.0,26.0
659,2020-03-29,Indiana,Clark County,-48.0,-10.0,64.0,-14.0,-36.0,10.0
669,2020-03-29,Indiana,Elkhart County,-43.0,-35.0,18.0,-19.0,-35.0,10.0
681,2020-03-29,Indiana,Hendricks County,-47.0,-26.0,-13.0,-19.0,-39.0,12.0
690,2020-03-29,Indiana,Johnson County,-51.0,-22.0,-5.0,-24.0,-37.0,11.0
693,2020-03-29,Indiana,LaGrange County,-70.0,-25.0,-46.0,-32.0,-36.0,9.0
694,2020-03-29,Indiana,LaPorte County,-49.0,-24.0,-23.0,-43.0,-32.0,10.0
695,2020-03-29,Indiana,Lake County,-52.0,-27.0,-18.0,-25.0,-38.0,13.0
698,2020-03-29,Indiana,Marion County,-52.0,-27.0,17.0,-49.0,-38.0,11.0
702,2020-03-29,Indiana,Monroe County,-53.0,-33.0,39.0,-40.0,-42.0,12.0
713,2020-03-29,Indiana,Porter County,-54.0,-28.0,20.0,-39.0,-34.0,13.0
723,2020-03-29,Indiana,St. Joseph County,-53.0,-26.0,-17.0,-37.0,-35.0,11.0
728,2020-03-29,Indiana,Tippecanoe County,-57.0,-37.0,5.0,-27.0,-41.0,12.0
731,2020-03-29,Indiana,Vanderburgh County,-41.0,-16.0,-16.0,-53.0,-29.0,10.0
733,2020-03-29,Indiana,Vigo County,-47.0,-24.0,-12.0,-9.0,-36.0,9.0
742,2020-03-29,Iowa,Total,-43.0,-10.0,41.0,-28.0,-29.0,10.0
748,2020-03-29,Iowa,Black Hawk County,-46.0,-23.0,11.0,-14.0,-30.0,10.0
772,2020-03-29,Iowa,Dubuque County,-53.0,-9.0,-25.0,-63.0,-34.0,15.0
793,2020-03-29,Iowa,Johnson County,-58.0,-36.0,-6.0,-24.0,-36.0,13.0
798,2020-03-29,Iowa,Linn County,-52.0,-7.0,2.0,-55.0,-36.0,11.0
818,2020-03-29,Iowa,Polk County,-44.0,-9.0,66.0,-45.0,-34.0,10.0
819,2020-03-29,Iowa,Pottawattamie County,-33.0,2.0,14.0,-4.0,-30.0,7.0
822,2020-03-29,Iowa,Scott County,-50.0,-22.0,-1.0,-24.0,-31.0,11.0
840,2020-03-29,Kansas,Total,-36.0,-14.0,72.0,-20.0,-30.0,9.0
856,2020-03-29,Kansas,Douglas County,-50.0,-20.0,88.0,-26.0,-38.0,11.0
869,2020-03-29,Kansas,Johnson County,-42.0,-24.0,192.0,-20.0,-40.0,12.0
893,2020-03-29,Kansas,Saline County,-27.0,-16.0,-7.0,-11.0,-21.0,11.0
895,2020-03-29,Kansas,Sedgwick County,-38.0,-16.0,76.0,-37.0,-34.0,9.0
897,2020-03-29,Kansas,Shawnee County,-37.0,-16.0,55.0,13.0,-30.0,10.0
906,2020-03-29,Kansas,Wyandotte County,-43.0,-10.0,53.0,-5.0,-33.0,9.0
907,2020-03-29,Kentucky,Total,-37.0,-11.0,68.0,-34.0,-34.0,9.0
915,2020-03-29,Kentucky,Boone County,-44.0,-16.0,53.0,-54.0,-37.0,9.0
938,2020-03-29,Kentucky,Fayette County,-45.0,-12.0,57.0,-46.0,-39.0,10.0
959,2020-03-29,Kentucky,Jefferson County,-44.0,-10.0,83.0,-37.0,-38.0,10.0
962,2020-03-29,Kentucky,Kenton County,-35.0,-8.0,108.0,-2.0,-35.0,10.0
966,2020-03-29,Kentucky,Laurel County,-36.0,-14.0,61.0,-22.0,-30.0,14.0
978,2020-03-29,Kentucky,McCracken County,-40.0,-13.0,-24.0,-15.0,-34.0,16.0
1011,2020-03-29,Kentucky,Warren County,-42.0,-23.0,-26.0,-22.0,-37.0,10.0
1017,2020-03-29,Louisiana,Total,-45.0,-16.0,-18.0,-49.0,-35.0,11.0
1025,2020-03-29,Louisiana,Bossier Parish,-49.0,-19.0,4.0,-30.0,-37.0,12.0
1026,2020-03-29,Louisiana,Caddo Parish,-36.0,-9.0,-14.0,-31.0,-32.0,10.0
1027,2020-03-29,Louisiana,Calcasieu Parish,-40.0,-19.0,-6.0,-38.0,-34.0,11.0
1034,2020-03-29,Louisiana,East Baton Rouge Parish,-48.0,-16.0,-26.0,-44.0,-34.0,12.0
1043,2020-03-29,Louisiana,Jefferson Parish,-49.0,-20.0,-1.0,-84.0,-44.0,14.0
1045,2020-03-29,Louisiana,Lafayette Parish,-44.0,-22.0,15.0,-42.0,-31.0,11.0
1048,2020-03-29,Louisiana,Livingston Parish,-40.0,-12.0,-13.0,-16.0,-32.0,10.0
1052,2020-03-29,Louisiana,Orleans Parish,-71.0,-35.0,-55.0,-59.0,-54.0,16.0
1053,2020-03-29,Louisiana,Ouachita Parish,-41.0,-15.0,-24.0,-27.0,-29.0,9.0
1056,2020-03-29,Louisiana,Rapides Parish,-40.0,-15.0,-2.0,-55.0,-30.0,10.0
1064,2020-03-29,Louisiana,St. John the Baptist Parish,-34.0,-3.0,-67.0,-51.0,-37.0,22.0
1066,2020-03-29,Louisiana,St. Martin Parish,-34.0,-14.0,-10.0,-45.0,-29.0,19.0
1068,2020-03-29,Louisiana,St. Tammany Parish,-45.0,-19.0,3.0,-21.0,-35.0,11.0
1069,2020-03-29,Louisiana,Tangipahoa Parish,-35.0,-6.0,-20.0,-17.0,-32.0,10.0
1070,2020-03-29,Louisiana,Terrebonne Parish,-43.0,-12.0,25.0,-42.0,-32.0,9.0
1080,2020-03-29,Maine,Total,-50.0,-22.0,-24.0,-56.0,-31.0,10.0
1083,2020-03-29,Maine,Cumberland County,-60.0,-36.0,-38.0,-67.0,-37.0,13.0
1086,2020-03-29,Maine,Kennebec County,-42.0,-19.0,-37.0,-53.0,-28.0,10.0
1090,2020-03-29,Maine,Penobscot County,-45.0,-14.0,4.0,-29.0,-31.0,9.0
1096,2020-03-29,Maine,York County,-55.0,-23.0,-48.0,-64.0,-36.0,12.0
1097,2020-03-29,Maryland,Total,-45.0,-25.0,29.0,-51.0,-39.0,13.0
1098,2020-03-29,Maryland,Allegany County,-39.0,-17.0,-8.0,-32.0,-31.0,16.0
1099,2020-03-29,Maryland,Anne Arundel County,-49.0,-31.0,33.0,-76.0,-42.0,13.0
1100,2020-03-29,Maryland,Baltimore,-44.0,-18.0,12.0,-34.0,-37.0,12.0
1101,2020-03-29,Maryland,Baltimore County,-46.0,-21.0,10.0,-39.0,-36.0,13.0
1104,2020-03-29,Maryland,Carroll County,-43.0,-35.0,10.0,-50.0,-34.0,12.0
1105,2020-03-29,Maryland,Cecil County,-34.0,-32.0,-34.0,-57.0,-30.0,10.0
1106,2020-03-29,Maryland,Charles County,-41.0,-18.0,-42.0,-28.0,-39.0,13.0
1108,2020-03-29,Maryland,Frederick County,-49.0,-30.0,19.0,-35.0,-38.0,13.0
1110,2020-03-29,Maryland,Harford County,-43.0,-30.0,50.0,-62.0,-32.0,12.0
1111,2020-03-29,Maryland,Howard County,-57.0,-45.0,7.0,-30.0,-47.0,16.0
1113,2020-03-29,Maryland,Montgomery County,-51.0,-30.0,44.0,-50.0,-45.0,16.0
1114,2020-03-29,Maryland,Prince George's County,-40.0,-26.0,37.0,-50.0,-40.0,14.0
1119,2020-03-29,Maryland,Washington County,-42.0,-20.0,28.0,-22.0,-32.0,10.0
1122,2020-03-29,Massachusetts,Total,-59.0,-36.0,-56.0,-73.0,-42.0,16.0
1123,2020-03-29,Massachusetts,Barnstable County,-57.0,-28.0,-38.0,-67.0,-41.0,13.0
1124,2020-03-29,Massachusetts,Berkshire County,-49.0,-31.0,-36.0,-68.0,-35.0,12.0
1125,2020-03-29,Massachusetts,Bristol County,-54.0,-32.0,-44.0,-54.0,-35.0,13.0
1127,2020-03-29,Massachusetts,Essex County,-58.0,-39.0,-53.0,-60.0,-44.0,16.0
